Hour,Wind,Solar,,,,,,,,,,
01.01.2020 00:00,241,0,,,,,,,,,,
01.01.2020 01:00,262,0,,,,,,,,,,
01.01.2020 02:00,248,0,,,,,,,,,,
01.01.2020 03:00,220,0,,,,,,,,,,
01.01.2020 04:00,229,0,,,,,,,,,,
01.01.2020 05:00,250,0,,,,,,,,,,
01.01.2020 06:00,278,0,,,,,,,,,,
01.01.2020 07:00,284,0,,,,,,,,,,
01.01.2020 08:00,286,2,,,,,,,,,,
01.01.2020 09:00,309,2,,,,,,,,,,
01.01.2020 10:00,328,7,,,,,,,,,,
01.01.2020 11:00,344,7,,,,,,,,,,
01.01.2020 12:00,349,7,,,,,,,,,,
01.01.2020 13:00,351,6,,,,,,,,,,
01.01.2020 14:00,351,2,,,,,,,,,,
01.01.2020 15:00,372,1,,,,,,,,,,
01.01.2020 16:00,397,0,,,,,,,,,,
01.01.2020 17:00,399,0,,,,,,,,,,
01.01.2020 18:00,396,0,,,,,,,,,,
01.01.2020 19:00,380,0,,,,,,,,,,
01.01.2020 20:00,382,0,,,,,,,,,,
01.01.2020 21:00,386,0,,,,,,,,,,
01.01.2020 22:00,387,0,,,,,,,,,,
01.01.2020 23:00,389,0,,,,,,,,,,
02.01.2020 00:00,393,0,,,,,,,,,,
02.01.2020 01:00,423,0,,,,,,,,,,
02.01.2020 02:00,418,0,,,,,,,,,,
02.01.2020 03:00,424,0,,,,,,,,,,
02.01.2020 04:00,419,0,,,,,,,,,,
02.01.2020 05:00,405,0,,,,,,,,,,
02.01.2020 06:00,399,0,,,,,,,,,,
02.01.2020 07:00,347,0,,,,,,,,,,
02.01.2020 08:00,328,1,,,,,,,,,,
02.01.2020 09:00,337,2,,,,,,,,,,
02.01.2020 10:00,317,6,,,,,,,,,,
02.01.2020 11:00,305,7,,,,,,,,,,
02.01.2020 12:00,318,6,,,,,,,,,,
02.01.2020 13:00,330,7,,,,,,,,,,
02.01.2020 14:00,337,2,,,,,,,,,,
02.01.2020 15:00,348,1,,,,,,,,,,
02.01.2020 16:00,334,0,,,,,,,,,,
02.01.2020 17:00,315,0,,,,,,,,,,
02.01.2020 18:00,285,0,,,,,,,,,,
02.01.2020 19:00,299,0,,,,,,,,,,
02.01.2020 20:00,342,0,,,,,,,,,,
02.01.2020 21:00,358,0,,,,,,,,,,
02.01.2020 22:00,283,0,,,,,,,,,,
02.01.2020 23:00,286,0,,,,,,,,,,
03.01.2020 00:00,310,0,,,,,,,,,,
03.01.2020 01:00,307,0,,,,,,,,,,
03.01.2020 02:00,287,0,,,,,,,,,,
03.01.2020 03:00,319,0,,,,,,,,,,
03.01.2020 04:00,364,0,,,,,,,,,,
03.01.2020 05:00,356,0,,,,,,,,,,
03.01.2020 06:00,355,0,,,,,,,,,,
03.01.2020 07:00,360,0,,,,,,,,,,
03.01.2020 08:00,341,2,,,,,,,,,,
03.01.2020 09:00,355,2,,,,,,,,,,
03.01.2020 10:00,336,7,,,,,,,,,,
03.01.2020 11:00,336,22,,,,,,,,,,
03.01.2020 12:00,329,7,,,,,,,,,,
03.01.2020 13:00,386,6,,,,,,,,,,
03.01.2020 14:00,409,2,,,,,,,,,,
03.01.2020 15:00,415,1,,,,,,,,,,
03.01.2020 16:00,442,0,,,,,,,,,,
03.01.2020 17:00,455,0,,,,,,,,,,
03.01.2020 18:00,429,0,,,,,,,,,,
03.01.2020 19:00,375,0,,,,,,,,,,
03.01.2020 20:00,353,0,,,,,,,,,,
03.01.2020 21:00,327,0,,,,,,,,,,
03.01.2020 22:00,274,0,,,,,,,,,,
03.01.2020 23:00,282,0,,,,,,,,,,
04.01.2020 00:00,294,0,,,,,,,,,,
04.01.2020 01:00,278,0,,,,,,,,,,
04.01.2020 02:00,347,0,,,,,,,,,,
04.01.2020 03:00,415,0,,,,,,,,,,
04.01.2020 04:00,436,0,,,,,,,,,,
04.01.2020 05:00,453,0,,,,,,,,,,
04.01.2020 06:00,473,0,,,,,,,,,,
04.01.2020 07:00,465,0,,,,,,,,,,
04.01.2020 08:00,474,1,,,,,,,,,,
04.01.2020 09:00,454,1,,,,,,,,,,
04.01.2020 10:00,445,6,,,,,,,,,,
04.01.2020 11:00,430,6,,,,,,,,,,
