Hour,Wind,Solar,,,,,,,,,,
01.01.2020 00:00,2697,,,,,,,,,,,
01.01.2020 01:00,2503,,,,,,,,,,,
01.01.2020 02:00,2500,,,,,,,,,,,
01.01.2020 03:00,2396,,,,,,,,,,,
01.01.2020 04:00,2305,,,,,,,,,,,
01.01.2020 05:00,2337,,,,,,,,,,,
01.01.2020 06:00,2335,,,,,,,,,,,
01.01.2020 07:00,2168,,,,,,,,,,,
01.01.2020 08:00,2209,,,,,,,,,,,
01.01.2020 09:00,2337,,,,,,,,,,,
01.01.2020 10:00,2489,,,,,,,,,,,
01.01.2020 11:00,2721,,,,,,,,,,,
01.01.2020 12:00,2867,,,,,,,,,,,
01.01.2020 13:00,2947,,,,,,,,,,,
01.01.2020 14:00,2898,,,,,,,,,,,
01.01.2020 15:00,2856,,,,,,,,,,,
01.01.2020 16:00,2923,,,,,,,,,,,
01.01.2020 17:00,3108,,,,,,,,,,,
01.01.2020 18:00,3161,,,,,,,,,,,
01.01.2020 19:00,2990,,,,,,,,,,,
01.01.2020 20:00,2789,,,,,,,,,,,
01.01.2020 21:00,2641,,,,,,,,,,,
01.01.2020 22:00,2503,,,,,,,,,,,
01.01.2020 23:00,2428,,,,,,,,,,,
02.01.2020 00:00,2339,,,,,,,,,,,
02.01.2020 01:00,2351,,,,,,,,,,,
02.01.2020 02:00,2399,,,,,,,,,,,
02.01.2020 03:00,2378,,,,,,,,,,,
02.01.2020 04:00,2504,,,,,,,,,,,
02.01.2020 05:00,2771,,,,,,,,,,,
02.01.2020 06:00,2905,,,,,,,,,,,
02.01.2020 07:00,2956,,,,,,,,,,,
02.01.2020 08:00,2932,,,,,,,,,,,
02.01.2020 09:00,2904,,,,,,,,,,,
02.01.2020 10:00,2666,,,,,,,,,,,
02.01.2020 11:00,2405,,,,,,,,,,,
02.01.2020 12:00,2231,,,,,,,,,,,
02.01.2020 13:00,2115,,,,,,,,,,,
02.01.2020 14:00,2225,,,,,,,,,,,
02.01.2020 15:00,2344,,,,,,,,,,,
02.01.2020 16:00,2620,,,,,,,,,,,
02.01.2020 17:00,2878,,,,,,,,,,,
02.01.2020 18:00,2958,,,,,,,,,,,
02.01.2020 19:00,3083,,,,,,,,,,,
02.01.2020 20:00,3098,,,,,,,,,,,
02.01.2020 21:00,3074,,,,,,,,,,,
02.01.2020 22:00,3162,,,,,,,,,,,
02.01.2020 23:00,3328,,,,,,,,,,,
03.01.2020 00:00,3258,,,,,,,,,,,
03.01.2020 01:00,3139,,,,,,,,,,,
03.01.2020 02:00,3181,,,,,,,,,,,
03.01.2020 03:00,3224,,,,,,,,,,,
03.01.2020 04:00,3141,,,,,,,,,,,
03.01.2020 05:00,3065,,,,,,,,,,,
03.01.2020 06:00,2932,,,,,,,,,,,
03.01.2020 07:00,2797,,,,,,,,,,,
03.01.2020 08:00,2935,,,,,,,,,,,
03.01.2020 09:00,2983,,,,,,,,,,,
03.01.2020 10:00,3031,,,,,,,,,,,
03.01.2020 11:00,3195,,,,,,,,,,,
03.01.2020 12:00,3267,,,,,,,,,,,
03.01.2020 13:00,3308,,,,,,,,,,,
03.01.2020 14:00,3361,,,,,,,,,,,
03.01.2020 15:00,3545,,,,,,,,,,,
03.01.2020 16:00,3719,,,,,,,,,,,
03.01.2020 17:00,3869,,,,,,,,,,,
03.01.2020 18:00,3922,,,,,,,,,,,
03.01.2020 19:00,3793,,,,,,,,,,,
03.01.2020 20:00,3654,,,,,,,,,,,
03.01.2020 21:00,3680,,,,,,,,,,,
03.01.2020 22:00,3327,,,,,,,,,,,
03.01.2020 23:00,3332,,,,,,,,,,,
04.01.2020 00:00,3645,,,,,,,,,,,
04.01.2020 01:00,3970,,,,,,,,,,,
04.01.2020 02:00,4065,,,,,,,,,,,
04.01.2020 03:00,4290,,,,,,,,,,,
04.01.2020 04:00,4368,,,,,,,,,,,
04.01.2020 05:00,4582,,,,,,,,,,,
04.01.2020 06:00,4748,,,,,,,,,,,
04.01.2020 07:00,4728,,,,,,,,,,,
04.01.2020 08:00,4734,,,,,,,,,,,
04.01.2020 09:00,4707,,,,,,,,,,,
04.01.2020 10:00,4779,,,,,,,,,,,
04.01.2020 11:00,4650,,,,,,,,,,,
04.01.2020 12:00,4300,,,,,,,,,,,
04.01.2020 13:00,4039,,,,,,,,,,,
04.01.2020 14:00,4484,,,,,,,,,,,
04.01.2020 15:00,4442,,,,,,,,,,,
04.01.2020 16:00,4556,,,,,,,,,,,
04.01.2020 17:00,4457,,,,,,,,,,,
04.01.2020 18:00,4396,,,,,,,,,,,
04.01.2020 19:00,4450,,,,,,,,,,,
04.01.2020 20:00,4559,,,,,,,,,,,
04.01.2020 21:00,4531,,,,,,,,,,,
04.01.2020 22:00,4576,,,,,,,,,,,
04.01.2020 23:00,4599,,,,,,,,,,,
05.01.2020 00:00,4533,,,,,,,,,,,
05.01.2020 01:00,4340,,,,,,,,,,,
05.01.2020 02:00,4083,,,,,,,,,,,
05.01.2020 03:00,3822,,,,,,,,,,,
05.01.2020 04:00,3753,,,,,,,,,,,
05.01.2020 05:00,3557,,,,,,,,,,,
05.01.2020 06:00,3491,,,,,,,,,,,
05.01.2020 07:00,3197,,,,,,,,,,,
05.01.2020 08:00,2885,,,,,,,,,,,
05.01.2020 09:00,2522,,,,,,,,,,,
05.01.2020 10:00,2041,,,,,,,,,,,
05.01.2020 11:00,1773,,,,,,,,,,,
05.01.2020 12:00,1560,,,,,,,,,,,
05.01.2020 13:00,1336,,,,,,,,,,,
05.01.2020 14:00,1111,,,,,,,,,,,
05.01.2020 15:00,1092,,,,,,,,,,,
05.01.2020 16:00,1196,,,,,,,,,,,
05.01.2020 17:00,1434,,,,,,,,,,,
05.01.2020 18:00,1589,,,,,,,,,,,
05.01.2020 19:00,1589,,,,,,,,,,,
05.01.2020 20:00,1643,,,,,,,,,,,
05.01.2020 21:00,1724,,,,,,,,,,,
05.01.2020 22:00,1773,,,,,,,,,,,
05.01.2020 23:00,1791,,,,,,,,,,,
06.01.2020 00:00,1870,,,,,,,,,,,
06.01.2020 01:00,1981,,,,,,,,,,,
06.01.2020 02:00,2071,,,,,,,,,,,
06.01.2020 03:00,2196,,,,,,,,,,,
06.01.2020 04:00,2222,,,,,,,,,,,
06.01.2020 05:00,2157,,,,,,,,,,,
06.01.2020 06:00,2215,,,,,,,,,,,
06.01.2020 07:00,2114,,,,,,,,,,,
06.01.2020 08:00,2032,,,,,,,,,,,
06.01.2020 09:00,1986,,,,,,,,,,,
06.01.2020 10:00,1830,,,,,,,,,,,
06.01.2020 11:00,1643,,,,,,,,,,,
06.01.2020 12:00,1439,,,,,,,,,,,
06.01.2020 13:00,1294,,,,,,,,,,,
06.01.2020 14:00,1228,,,,,,,,,,,
06.01.2020 15:00,1184,,,,,,,,,,,
06.01.2020 16:00,1162,,,,,,,,,,,
06.01.2020 17:00,1203,,,,,,,,,,,
06.01.2020 18:00,1270,,,,,,,,,,,
06.01.2020 19:00,1316,,,,,,,,,,,
06.01.2020 20:00,1188,,,,,,,,,,,
06.01.2020 21:00,1145,,,,,,,,,,,
06.01.2020 22:00,1034,,,,,,,,,,,
06.01.2020 23:00,920,,,,,,,,,,,
07.01.2020 00:00,897,,,,,,,,,,,
07.01.2020 01:00,876,,,,,,,,,,,
07.01.2020 02:00,896,,,,,,,,,,,
07.01.2020 03:00,861,,,,,,,,,,,
07.01.2020 04:00,843,,,,,,,,,,,
07.01.2020 05:00,755,,,,,,,,,,,
07.01.2020 06:00,689,,,,,,,,,,,
07.01.2020 07:00,732,,,,,,,,,,,
07.01.2020 08:00,771,,,,,,,,,,,
07.01.2020 09:00,756,,,,,,,,,,,
07.01.2020 10:00,605,,,,,,,,,,,
07.01.2020 11:00,518,,,,,,,,,,,
07.01.2020 12:00,504,,,,,,,,,,,
07.01.2020 13:00,505,,,,,,,,,,,
07.01.2020 14:00,514,,,,,,,,,,,
07.01.2020 15:00,651,,,,,,,,,,,
07.01.2020 16:00,722,,,,,,,,,,,
07.01.2020 17:00,850,,,,,,,,,,,
07.01.2020 18:00,960,,,,,,,,,,,
07.01.2020 19:00,1050,,,,,,,,,,,
07.01.2020 20:00,1158,,,,,,,,,,,
07.01.2020 21:00,1204,,,,,,,,,,,
07.01.2020 22:00,1301,,,,,,,,,,,
07.01.2020 23:00,1490,,,,,,,,,,,
08.01.2020 00:00,1769,,,,,,,,,,,
08.01.2020 01:00,2007,,,,,,,,,,,
08.01.2020 02:00,2232,,,,,,,,,,,
08.01.2020 03:00,2505,,,,,,,,,,,
08.01.2020 04:00,2728,,,,,,,,,,,
08.01.2020 05:00,2990,,,,,,,,,,,
08.01.2020 06:00,3400,,,,,,,,,,,
08.01.2020 07:00,3639,,,,,,,,,,,
08.01.2020 08:00,3840,,,,,,,,,,,
08.01.2020 09:00,3797,,,,,,,,,,,
08.01.2020 10:00,3719,,,,,,,,,,,
08.01.2020 11:00,3645,,,,,,,,,,,
08.01.2020 12:00,3525,,,,,,,,,,,
08.01.2020 13:00,3440,,,,,,,,,,,
08.01.2020 14:00,3385,,,,,,,,,,,
08.01.2020 15:00,3395,,,,,,,,,,,
08.01.2020 16:00,3399,,,,,,,,,,,
08.01.2020 17:00,3282,,,,,,,,,,,
08.01.2020 18:00,3187,,,,,,,,,,,
08.01.2020 19:00,3012,,,,,,,,,,,
08.01.2020 20:00,2902,,,,,,,,,,,
08.01.2020 21:00,2696,,,,,,,,,,,
08.01.2020 22:00,2518,,,,,,,,,,,
08.01.2020 23:00,2346,,,,,,,,,,,
09.01.2020 00:00,2055,,,,,,,,,,,
09.01.2020 01:00,1747,,,,,,,,,,,
09.01.2020 02:00,1539,,,,,,,,,,,
09.01.2020 03:00,1281,,,,,,,,,,,
09.01.2020 04:00,1142,,,,,,,,,,,
09.01.2020 05:00,1022,,,,,,,,,,,
09.01.2020 06:00,822,,,,,,,,,,,
09.01.2020 07:00,740,,,,,,,,,,,
